index,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,0.5447058,0.2874704,0.53306246,0.27983624,0.59548926,0.47256964,0.6724872,0.33739024,0.48773047,0.49455103
1,0.69071203,0.13702786,0.68721735,0.12403265,0.7159897,0.6300512,0.75279504,0.28628075,0.64520204,0.65116775
2,0.69960123,0.15604636,0.63282716,0.1346153,0.79442155,0.6098068,0.8863621,0.28473532,0.6500674,0.6374632
3,0.780699,0.32831717,0.67876595,0.31662107,0.8762295,0.69960904,0.94770813,0.47850412,0.74977386,0.72573304
4,0.6885195,0.27451944,0.60608953,0.2963247,0.79921,0.60351026,0.8923452,0.4033814,0.64762706,0.62999636
5,0.7345017,0.38330775,0.66192734,0.49668914,0.83728695,0.66257834,0.91153735,0.49247482,0.7033859,0.6816665
6,0.70918286,0.30121744,0.6573225,0.36269417,0.8118876,0.6419035,0.89632136,0.4087814,0.6813081,0.6593204
7,0.70830137,0.18085241,0.6619767,0.32494432,0.80240947,0.64388824,0.88918614,0.2933967,0.68125814,0.6581444
8,0.6832751,0.18065917,0.6443203,0.31674814,0.78573203,0.6167627,0.8755095,0.3005373,0.6466644,0.6359327
9,0.66373014,0.09288877,0.6281984,0.25671247,0.7595406,0.6008865,0.85668993,0.25985342,0.63074654,0.6227352
10,0.6827465,0.14728308,0.65784276,0.30514073,0.79848564,0.6286437,0.88385475,0.3227358,0.6631786,0.6564427
11,0.68822104,0.1844778,0.66556716,0.36445636,0.8032485,0.6395759,0.8892944,0.36279988,0.6660467,0.6570589
12,0.67899513,0.17404348,0.6588944,0.3552444,0.77671504,0.6262641,0.85631174,0.34421846,0.6649903,0.6559052
13,0.72833174,0.12673068,0.7073786,0.3446392,0.7900531,0.67715466,0.86468357,0.29409105,0.69708747,0.69537127
14,0.72491664,0.12458524,0.7063819,0.33318996,0.8296536,0.66596705,0.90044206,0.29990965,0.7608644,0.71656185
15,0.72843397,0.10479385,0.6968859,0.27268797,0.83024824,0.6688192,0.9087701,0.30269262,0.75088394,0.67631596
16,0.7058365,0.117724895,0.69707423,0.29916462,0.8235831,0.6494839,0.89298856,0.3226052,0.78782344,0.68955004
17,0.6899786,0.08384347,0.68398744,0.3966963,0.80654246,0.6459203,0.8823018,0.30794573,0.7625713,0.69637865
18,0.7405021,0.1001488,0.7266003,0.43754295,0.8503385,0.6668193,0.91341007,0.33153245,0.82551324,0.735728
19,0.725767,0.17935476,0.7189051,0.5778958,0.8647077,0.645434,0.92168915,0.43200785,0.80652857,0.7483959
20,0.69979864,0.1608401,0.6958306,0.47157967,0.79882205,0.6313823,0.8551222,0.38820374,0.77453107,0.69806397
21,0.70497525,0.07717821,0.70830625,0.22113422,0.78114396,0.6513479,0.8293679,0.29885593,0.7359878,0.68532354
22,0.74225324,0.07770124,0.7250587,0.22413659,0.830476,0.646911,0.8801153,0.29048407,0.81054217,0.7071541
23,0.70732754,0.082304835,0.7063935,0.18949783,0.8209428,0.61579263,0.87375605,0.26794612,0.78528494,0.70801353
24,0.72321415,0.106722146,0.7093054,0.24221265,0.8111354,0.6306882,0.85662574,0.298263,0.7960113,0.6982403
25,0.65999794,0.10827145,0.6407772,0.15952292,0.7541566,0.5591612,0.81475383,0.21512023,0.7620477,0.62648857
26,0.7099824,0.118891925,0.68358076,0.18002197,0.7912331,0.6022372,0.8404636,0.25164512,0.8007904,0.66183364
27,0.71077806,0.11468929,0.68186253,0.18557858,0.7930669,0.60525715,0.84200174,0.23189878,0.7986354,0.6710752
28,0.7254818,0.113069445,0.6881339,0.22228825,0.7911197,0.62234885,0.84103835,0.25572133,0.807118,0.671468
29,0.7582582,0.069769025,0.7198825,0.29817533,0.82089067,0.67273724,0.8619348,0.24128753,0.8181607,0.71507865
30,0.75921226,0.06788221,0.71652615,0.25456774,0.8226222,0.6404346,0.8833269,0.21654803,0.8452267,0.68944544
31,0.7903105,0.085641176,0.7224723,0.31807464,0.8530918,0.6350198,0.8927221,0.23647237,0.87831396,0.71930254
32,0.74325156,0.09804335,0.6972709,0.2986055,0.79969704,0.62115073,0.8616312,0.240944,0.83182615,0.67834485
33,0.7349335,0.05137351,0.69606704,0.26255882,0.7923695,0.61736476,0.8357414,0.152419,0.80382174,0.6779763
34,0.76369345,0.051591933,0.7067356,0.27134687,0.8169941,0.6325565,0.8773649,0.16505915,0.8539707,0.70054567
35,0.7947407,0.09472847,0.7411362,0.3038498,0.84855515,0.67040324,0.92200446,0.2177878,0.9069232,0.7196384
36,0.7429385,0.1044465,0.68835783,0.27579433,0.8026906,0.64195293,0.87337923,0.23220497,0.8469993,0.6919528
37,0.754135,0.099092185,0.7035442,0.22106478,0.8049276,0.6644916,0.8652988,0.24766508,0.851145,0.7016397
