index,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,0.69254416,0.15645236,0.5873585,0.17533413,0.817681,0.6015888,0.9521044,0.30464026,0.6381571,0.619417
1,0.68861866,0.09757587,0.59098834,0.120094,0.8132615,0.595119,0.96705925,0.26824787,0.6337602,0.6139227
2,0.6977622,0.083829194,0.5919704,0.10680175,0.8075348,0.59226334,0.97256446,0.2214725,0.6389023,0.61205995
3,0.7049376,0.07988447,0.599125,0.115525246,0.8076798,0.5979818,0.9742948,0.22805208,0.6450042,0.61906326
4,0.70427245,0.093823105,0.6124584,0.12888104,0.8116663,0.6013336,0.9722577,0.23958409,0.6432209,0.6204215
5,0.7048944,0.09332299,0.6202891,0.14663348,0.8216822,0.6048434,0.97218555,0.2596328,0.6412165,0.6247148
6,0.7054032,0.09083372,0.6221321,0.15904945,0.83136547,0.6034036,0.97065973,0.27318227,0.64244634,0.6255727
7,0.7070463,0.08205506,0.63214177,0.18998343,0.83614284,0.6121175,0.96989334,0.28722215,0.64473426,0.63274217
8,0.70251286,0.08380002,0.6365298,0.20727092,0.8224597,0.60662675,0.9675931,0.28611153,0.6348903,0.6383377
9,0.7063352,0.078091085,0.64293563,0.217251,0.82030666,0.6109187,0.9688355,0.29744533,0.6416466,0.64533234
10,0.69935966,0.078472584,0.644469,0.2210154,0.81882274,0.60520184,0.96756995,0.31552255,0.6371583,0.64217615
11,0.70280397,0.073071,0.6501336,0.21679226,0.81716657,0.60578144,0.9691189,0.34031284,0.63699514,0.6458392
12,0.70944947,0.07308546,0.66074747,0.22884035,0.82028407,0.61238486,0.97093326,0.38478494,0.65601385,0.65137124
13,0.71113455,0.076318055,0.6607723,0.26458305,0.8170389,0.60861087,0.9709859,0.43165535,0.6810018,0.6469333
14,0.7139237,0.072365314,0.66459405,0.3124893,0.81490815,0.60799277,0.97058916,0.45545483,0.71808535,0.6518332
15,0.7118643,0.06421718,0.673463,0.38018042,0.8165623,0.6074016,0.9704094,0.48931074,0.7613702,0.65597916
16,0.71056813,0.06634343,0.6730653,0.41778782,0.8155277,0.60895944,0.97107446,0.52696216,0.7964719,0.6558412
17,0.71396077,0.059287727,0.68152344,0.44644976,0.81864387,0.6122249,0.9721621,0.5169464,0.8099971,0.6575806
18,0.710218,0.05890748,0.6828905,0.50979114,0.8181578,0.6140367,0.9727641,0.50194365,0.81386787,0.6551166
19,0.7110829,0.06522632,0.68685967,0.49815696,0.8155948,0.61209434,0.97247374,0.44040293,0.8165056,0.653915
20,0.71770096,0.060976505,0.69440496,0.4283457,0.81933594,0.61698794,0.9730016,0.3751555,0.8187845,0.6617824
21,0.7113519,0.06266385,0.6943016,0.28123707,0.815335,0.6142577,0.97195214,0.31556046,0.81496996,0.65676296
22,0.70671606,0.06405422,0.69881105,0.19628698,0.81467915,0.618196,0.9702116,0.2706151,0.81703097,0.6532554
23,0.7063264,0.07082215,0.70175475,0.1550703,0.8164784,0.61584264,0.96732134,0.26666683,0.82034504,0.6532581
24,0.71691716,0.069257766,0.71042794,0.15448654,0.82047445,0.6195822,0.9678755,0.28139603,0.8278277,0.663606
